"","cell_id","step_ix","simulation_i","sim_time"
"551","cell551",2511,31,340.083333333326
"552","cell552",7075,87,60.0000000000006
"553","cell553",2492,31,150.083333333333
"554","cell554",1342,17,130.083333333331
"555","cell555",6758,83,170.000000000002
"556","cell556",1342,17,130.083333333331
"557","cell557",6013,74,100.083333333332
"558","cell558",1424,18,130.083333333331
"559","cell559",4936,61,0
"560","cell560",1423,18,120.083333333331
"561","cell561",3466,43,50.0000000000003
"562","cell562",5839,72,0
"563","cell563",1759,22,200.000000000005
"564","cell564",3112,38,610.083333333331
"565","cell565",1834,23,130.083333333331
"566","cell566",1512,19,190.000000000004
"567","cell567",6013,74,100.083333333332
"568","cell568",4703,58,120.083333333331
"569","cell569",1613,20,380.083333333317
"570","cell570",5446,67,170.000000000002
"571","cell571",4776,59,30.0833333333332
"572","cell572",1915,24,120.083333333331
"573","cell573",2682,33,410.08333333331
"574","cell574",1424,18,130.083333333331
"575","cell575",1268,16,210.000000000006
"576","cell576",1342,17,130.083333333331
"577","cell577",1502,19,90.0833333333326
"578","cell578",4392,54,290.000000000004
"579","cell579",1342,17,130.083333333331
"580","cell580",1527,19,340.083333333326
"581","cell581",8061,99,80.0833333333331
"582","cell582",3659,45,340.083333333326
"583","cell583",3882,48,110.083333333331
"584","cell584",8087,99,340.083333333326
"585","cell585",5765,71,80.0833333333331
"586","cell586",1424,18,130.083333333331
"587","cell587",6669,82,100.083333333332
"588","cell588",6176,76,90.0833333333326
"589","cell589",7321,90,60.0000000000006
"590","cell590",5161,63,600.083333333327
"591","cell591",7917,97,280.000000000006
"592","cell592",34,1,170.000000000002
"593","cell593",7104,87,350.083333333324
"594","cell594",6907,85,20.0833333333333
"595","cell595",4771,59,0
"596","cell596",3491,43,300.000000000002
"597","cell597",5596,69,30.0833333333332
"598","cell598",1174,15,90.0833333333326
"599","cell599",1423,18,120.083333333331
"600","cell600",1342,17,130.083333333331
"601","cell601",7561,93,0
"602","cell602",1502,19,90.0833333333326
"603","cell603",2810,35,50.0000000000003
"604","cell604",1423,18,120.083333333331
"605","cell605",3715,46,80.0833333333331
"606","cell606",1342,17,130.083333333331
"607","cell607",1342,17,130.083333333331
"608","cell608",4205,52,60.0000000000006
"609","cell609",3156,39,230.000000000009
"610","cell610",6912,85,70.0000000000004
"611","cell611",4854,60,0
"612","cell612",7515,92,360.083333333321
"613","cell613",5510,68,0
"614","cell614",5714,70,390.083333333314
"615","cell615",1423,18,120.083333333331
"616","cell616",3380,42,10
"617","cell617",960,12,410.08333333331
"618","cell618",6171,76,40
"619","cell619",5240,64,570.083333333313
"620","cell620",2181,27,320.08333333333
